신경대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,"공연장,연극극장",누림아트홀,경기 화성시 남양읍 시청로 155,1053,126.828735133374,37.1987908048969
1,"공연장,연극극장",라인아트홀,경기 화성시 남양읍 시청로160번길 46,1309,126.825626302124,37.1987934782177
2,문화원,룸비니문화원,경기 화성시 남양읍 한가울길 214,2937,126.806481470405,37.2043935143274
3,전시관,로얄엑스,경기 화성시 팔탄면 시청로 895-20,5462,126.886695177758,37.1711764417387
4,전시관,안산갈대습지 환경생태관,,7882,126.83976827007923,37.27378043066515
5,기념관,제암리3.1운동 순국기념관,경기 화성시 향남읍 제암길 50,9662,126.89160092013,37.1263190901813
6,전시관,코르디움,경기 안산시 상록구 해안로 787,9243,126.833098285422,37.2858919879442
7,전시관,서봉문화전시관,경기 화성시 봉담읍 삼천병마로 694-8,9344,126.93612707709,37.1693788454909
8,박물관,총회세계선교회 GMS선교본부 GMS선교박물관,경기 화성시 팔탄면 월문길 11-10,9367,126.868990081908,37.1217188601691
9,문화원,봉담문화의집,경기 화성시 봉담읍 샘마을1길 7,9968,126.949862094774,37.2194587527671
10,수인분당선,야목역 수인분당선,경기 화성시 매송면 본오매송로 286,7603,126.883773399214,37.2614226743824
11,수인분당선,어천역 수인분당선,경기 화성시 매송면 어천역길 8,8087,126.90880001435008,37.25008784954119
12,수인분당선,사리역 수인분당선,경기 안산시 상록구 충장로 103,9877,126.85710444456184,37.290641235808586
13,산,무봉산,,750,126.84767505160036,37.20452753154094
14,산,함봉산,,1497,126.829074474386,37.1921631599025
15,저수지,양노저수지,,2299,126.857891730167,37.2173657668588
16,저수지,장터저수지,,2527,126.86642562276,37.1953215908611
17,"수목원,식물원",길식물원,경기 화성시 남양읍 화성로 1509-14,2510,126.846804225867,37.2246179955768
18,"도자기,도예촌",남양옹기,경기 화성시 남양읍 화성로 1476-5,2218,126.843348260621,37.2225167376622
19,계곡,삼부실골,,2392,126.830910939979,37.2231907383259
20,계곡,수직이앞들,,2497,126.813081135947,37.2104591642586
21,계곡,방아다리골,,2587,126.853206744887,37.2233466164684
22,저수지,대성저수지,,4073,126.86515432423754,37.172328863965696
23,관광농원,주연농원,경기 화성시 비봉면 현대기아로 861-11,2864,126.857689823714,37.2240873426759
24,계곡,외마니골,,2733,126.825703819644,37.1807509198579
25,저수지,남전저수지,,3910,126.8341331439,37.2377309729549
26,계곡,선두집골,,2877,126.867413344279,37.18956677745
27,계곡,밴송골,,2866,126.857081334554,37.1810920711038
28,베니키아 호텔,베니키아 더에이치호텔,경기 화성시 남양읍 역골로 3-12,1033,126.82826751429067,37.200357055471464
29,호텔,롤링힐스호텔,경기 화성시 남양읍 시청로 290,1398,126.838751256653,37.1901763892666
