,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,전시관,아트센터갤러리봉봉,경북 경주시 충효천길 38-5,840,129.194152138639,35.8413884838996
1,문화원,화랑문화원,경북 경주시 충효7길 13,859,129.176650931312,35.8433756484841
2,롯데시네마,롯데시네마 경주,경북 경주시 계림로 83,2545,129.213141992174,35.8415554934855
3,"공연장,연극극장",서라벌문화회관,경북 경주시 금성로 236,2062,129.207857365891,35.838863109853
4,문화원,신라문화원,경북 경주시 태종로727번길 3,2048,129.207717801505,35.8394171151486
5,문화원,경주문화원,경북 경주시 중앙로 67-12,2417,129.210537199496,35.8464258505641
6,전시관,화랑마을 전시관,경북 경주시 석현로 123,2399,129.17872926798512,35.86076517180432
7,"공연장,연극극장",예술극장,경북 경주시 원효로 50,1932,129.206260008261,35.8420785583486
8,전시관,화랑마을 화랑관,경북 경주시 석현로 123,2216,129.178615523802,35.8590363206087
9,전시관,쪽샘유적발굴관,경북 경주시 태종로 788,2633,129.21419320796406,35.84004038621517
10,문화원,진흥문화재연구원,경북 경주시 석현로 75-72,2182,129.18704134791975,35.85936973668972
11,전시관,갤러리란,경북 경주시 손효자길 19,2275,129.210114827864,35.8377475488196
12,박물관,국립경주박물관,경북 경주시 일정로 186,4049,129.22795026492514,35.829233895353426
13,"공연장,연극극장",경주예술의전당,경북 경주시 알천북로 1,3170,129.206164482344,35.8625916904735
14,전시관,경주교촌마을 교촌홍보관,경북 경주시 교촌안길 31,3136,129.217608923664,35.8299721749093
15,테마거리,흥무로벚꽃길,,1191,129.196414069097,35.8452396695053
16,실내동물원,와우주,경북 경주시 강변로 200,1534,129.201925514606,35.8414048208762
17,드라이브코스,김유신장군진입로,,1208,129.198433071855,35.8394828837388
18,산,선도산,,1091,129.17514778859407,35.8341670935407
19,계곡,방판골,,456,129.18029450216,35.8411290234752
20,계곡,금산제골,,1067,129.19331884618,35.8466514064926
21,계곡,충주골,,890,129.184536088923,35.8477809967888
22,계곡,능남골,,814,129.188907480763,35.8464075042076
23,계곡,서당골,,853,129.186466923224,35.8321685128883
24,카페거리,황리단길,경북 경주시 태종로 746,2222,129.209645417434,35.8393348165945
25,계곡,무채골,,868,129.188109658434,35.832354854444
26,저수지,아당지,,1608,129.168135882682,35.8442540982802
27,산,송화산,,1377,129.190890975559,35.851244207109
28,국립공원 지구,경주국립공원 화랑지구,,1342,129.184076490982,35.851844075884
29,계곡,소화골,,1262,129.193411548484,35.8488915199064
30,펜션,경주엔한옥펜션,경북 경주시 충효서악길 81,938,129.19149502151225,35.83314013028124
31,"여관,모텔",아루미니호텔,경북 경주시 충효중앙길 67,444,129.183548742257,35.8435784339602
